id,Category
3597,0
3598,4
3599,1
3600,0
3601,0
3602,1
3603,4
3604,4
3605,4
3606,0
3607,1
3608,1
3609,0
3610,0
3611,1
3612,4
3613,4
3614,3
3615,0
3616,0
3617,0
3618,4
3619,3
3620,0
3621,0
3622,4
3623,0
3624,4
3625,0
3626,0
3627,4
3628,1
3629,1
3630,0
3631,0
3632,1
3633,4
3634,4
3635,4
3636,4
3637,3
3638,4
3639,4
3640,1
3641,0
3642,3
3643,0
3644,4
3645,4
3646,0
3647,4
3648,4
3649,0
3650,0
3651,4
3652,4
3653,4
3654,0
3655,3
3656,4
3657,0
3658,0
3659,4
3660,4
3661,1
3662,1
3663,0
3664,1
3665,0
3666,4
3667,0
3668,0
3669,1
3670,1
3671,4
3672,0
3673,3
3674,4
3675,1
3676,0
3677,1
3678,0
3679,1
3680,0
3681,4
3682,0
3683,4
3684,0
3685,1
3686,1
3687,3
3688,1
3689,0
3690,0
3691,4
3692,4
3693,0
3694,1
3695,4
3696,2
3697,1
3698,4
3699,2
3700,0
3701,0
3702,0
3703,1
3704,4
3705,4
3706,1
3707,3
3708,4
3709,1
3710,0
3711,0
3712,4
3713,3
3714,4
3715,4
3716,1
3717,0
3718,1
3719,4
3720,1
3721,1
3722,0
3723,1
3724,3
3725,1
3726,0
3727,4
3728,0
3729,0
3730,4
3731,1
3732,1
3733,4
3734,4
3735,1
3736,3
3737,4
3738,4
3739,1
3740,1
3741,4
3742,1
3743,3
3744,1
3745,4
3746,2
3747,4
3748,0
3749,1
3750,4
3751,0
3752,4
3753,0
3754,0
3755,0
3756,1
3757,0
3758,4
3759,4
3760,4
3761,4
3762,1
3763,1
3764,1
3765,2
3766,0
3767,4
3768,1
3769,0
3770,4
3771,1
3772,0
3773,0
3774,0
3775,0
3776,4
3777,1
3778,1
3779,4
3780,0
3781,1
3782,4
3783,4
3784,1
3785,0
3786,4
3787,1
3788,1
3789,0
3790,3
3791,4
3792,1
3793,2
3794,4
3795,4
3796,4
3797,4
3798,2
3799,4
3800,4
3801,0
3802,0
3803,4
3804,1
3805,4
3806,1
3807,4
3808,4
3809,4
3810,0
3811,0
3812,4
3813,4
3814,0
3815,0
3816,0
3817,0
3818,4
3819,3
3820,0
3821,4
3822,0
3823,4
3824,1
3825,0
3826,0
3827,4
3828,0
3829,0
3830,0
3831,4
3832,4
3833,0
3834,0
3835,4
3836,4
3837,1
3838,3
3839,4
3840,4
3841,1
3842,1
3843,1
3844,0
3845,4
3846,4
3847,0
3848,0
3849,0
3850,4
3851,4
3852,0
3853,4
3854,4
3855,0
3856,4
3857,0
3858,0
3859,4
3860,0
3861,0
3862,1
3863,4
3864,0
3865,0
3866,0
3867,0
3868,0
3869,4
3870,3
3871,3
3872,0
3873,4
3874,1
3875,4
3876,0
3877,0
3878,4
3879,2
3880,3
3881,4
3882,0
3883,4
3884,1
3885,1
3886,4
3887,4
3888,1
3889,4
3890,0
3891,3
3892,4
3893,4
3894,1
3895,0
3896,4
3897,0
3898,0
3899,4
3900,1
3901,0
3902,3
3903,4
3904,0
3905,0
3906,4
3907,4
3908,3
3909,4
3910,0
3911,4
3912,0
3913,3
3914,1
3915,1
3916,2
3917,0
3918,0
3919,4
3920,4
3921,0
3922,3
3923,4
3924,0
3925,4
3926,4
3927,0
3928,1
3929,0
3930,0
3931,2
3932,0
3933,1
3934,4
3935,0
3936,4
3937,4
3938,0
3939,4
3940,1
3941,4
3942,1
3943,4
3944,0
3945,1
3946,0
3947,3
3948,4
3949,3
3950,0
3951,4
3952,0
3953,4
3954,0
3955,4
3956,1
3957,4
3958,0
3959,4
3960,4
3961,4
3962,0
3963,0
3964,4
3965,0
3966,4
3967,0
3968,0
3969,4
3970,1
3971,0
3972,4
3973,1
3974,0
3975,0
3976,0
3977,3
3978,0
3979,0
3980,3
3981,0
3982,4
3983,4
3984,4
3985,0
3986,0
3987,4
3988,4
3989,1
3990,1
3991,0
3992,4
3993,1
3994,4
3995,1
3996,0
3997,1
3998,4
3999,0
4000,4
4001,4
4002,0
4003,0
4004,0
4005,3
4006,4
4007,4
4008,4
4009,0
4010,1
4011,1
4012,0
4013,4
4014,0
4015,0
4016,0
4017,4
4018,4
4019,4
4020,0
4021,4
4022,1
4023,4
